,category
0,1
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,1
10,2
11,3
12,4
13,5
14,6
15,7
16,8
17,9
18,1
19,2
20,3
21,4
22,5
23,6
24,7
25,8
26,9
27,1
28,2
29,3
30,4
31,5
32,6
33,7
34,8
35,9
36,1
37,2
38,3
39,4
40,5
41,6
42,7
43,8
44,9
45,1
46,2
47,3
48,4
49,5
50,6
51,7
52,8
53,9
54,1
55,2
56,3
57,4
58,5
59,6
60,7
61,8
62,9
63,1
64,2
65,3
66,4
67,5
68,6
69,7
70,8
71,9
72,1
73,2
74,3
75,4
76,5
77,6
78,7
79,8
80,9
81,1
82,2
83,3
84,4
85,5
86,6
87,7
88,8
89,9
90,1
91,2
92,3
93,4
94,5
95,6
96,7
97,8
98,9
99,1
100,2
101,3
102,4
103,5
104,6
105,7
106,8
107,9
108,1
109,2
110,3
111,4
112,5
113,6
114,7
115,8
116,9
117,1
118,2
119,3
120,4
121,5
122,6
123,7
124,8
125,9
126,1
127,2
128,3
129,4
130,5
131,6
132,7
133,8
134,9
135,1
136,2
137,3
138,4
139,5
140,6
141,7
142,8
143,9
144,1
145,2
146,3
147,4
148,5
149,6
150,7
151,8
152,9
153,1
154,2
155,3
156,4
157,5
158,6
159,7
160,8
161,9
162,1
163,2
164,3
165,4
166,5
167,6
168,7
169,8
170,9
171,1
172,2
173,3
174,4
175,5
176,6
177,7
178,8
179,9
180,1
181,2
182,3
183,4
184,5
185,6
186,7
187,8
188,9
189,1
190,2
191,3
192,4
193,5
194,6
195,7
196,8
197,9
198,1
199,2
200,3
201,4
202,5
203,6
204,7
205,8
206,9
207,1
208,2
209,3
210,4
211,5
212,6
213,7
214,8
215,9
216,1
217,2
218,3
219,4
220,5
221,6
222,7
223,8
224,9
225,1
226,2
227,3
228,4
229,5
230,6
231,7
232,8
233,9
234,1
235,2
236,3
237,4
238,5
239,6
240,7
241,8
242,9
243,1
244,2
245,3
246,4
247,5
248,6
249,7
250,8
251,9
252,1
253,2
254,3
255,4
256,5
257,6
258,7
259,8
260,9
261,1
262,2
263,3
264,4
265,5
266,6
267,7
268,8
269,9
270,1
271,2
272,3
273,4
274,5
275,6
276,7
277,8
278,9
279,1
280,2
281,3
282,4
283,5
284,6
285,7
286,8
287,9
288,1
289,2
290,3
291,4
292,5
293,6
294,7
295,8
296,9
297,1
298,2
299,3
300,4
301,5
302,6
303,7
304,8
305,9
306,1
307,2
308,3
309,4
310,5
311,6
312,7
313,8
314,9
315,1
316,2
317,3
318,4
319,5
320,6
321,7
322,8
323,9
324,1
325,2
326,3
327,4
328,5
329,6
330,7
331,8
332,9
333,1
334,2
335,3
336,4
337,5
338,6
339,7
340,8
341,9
342,1
343,2
344,3
345,4
346,5
347,6
348,7
349,8
350,9
351,1
352,2
353,3
354,4
355,5
356,6
357,7
358,8
359,9
360,1
361,2
362,3
363,4
364,5
365,6
366,7
367,8
368,9
369,1
370,2
371,3
372,4
373,5
374,6
375,7
376,8
377,9
378,1
379,2
380,3
381,4
382,5
383,6
384,7
385,8
386,9
387,1
388,2
389,3
390,4
391,5
392,6
393,7
394,8
395,9
396,1
397,2
398,3
399,4
400,5
401,6
402,7
403,8
404,9
405,1
406,2
407,3
408,4
409,5
410,6
411,7
412,8
413,9
414,1
415,2
416,3
417,4
418,5
419,6
420,7
421,8
422,9
423,1
424,2
425,3
426,4
427,5
428,6
429,7
430,8
431,9
432,1
433,2
434,3
435,4
436,5
437,6
438,7
439,8
440,9
441,1
442,2
443,3
444,4
445,5
446,6
447,7
448,8
449,9
450,1
451,2
452,3
453,4
454,5
455,6
456,7
457,8
458,9
459,1
460,2
461,3
462,4
463,5
464,6
465,7
466,8
467,9
468,1
469,2
470,3
471,4
472,5
473,6
474,7
475,8
476,9
477,1
478,2
479,3
480,4
481,5
482,6
483,7
484,8
485,9
486,1
487,2
488,3
489,4
490,5
491,6
492,7
493,8
494,9
495,1
496,2
497,3
498,4
499,5
500,6
501,7
502,8
503,9
504,1
505,2
506,3
507,4
508,5
509,6
510,7
511,8
512,9
513,1
514,2
515,3
516,4
517,5
518,6
519,7
520,8
521,9
522,1
523,2
524,3
525,4
526,5
527,6
528,7
529,8
530,9
531,1
532,2
533,3
534,4
535,5
536,6
537,7
538,8
539,9
540,1
541,2
542,3
543,4
544,5
545,6
546,7
547,8
548,9
549,1
550,2
551,3
552,4
553,5
554,6
555,7
556,8
557,9
558,1
559,2
560,3
561,4
562,5
563,6
564,7
565,8
566,9
567,1
568,2
569,3
570,4
571,5
572,6
573,7
574,8
575,9
576,1
577,2
578,3
579,4
580,5
581,6
582,7
583,8
584,9
585,1
586,2
587,3
588,4
589,5
590,6
591,7
592,8
593,9
594,1
595,2
596,3
597,4
598,5
599,6
600,7
601,8
602,9
603,1
604,2
605,3
606,4
607,5
608,6
609,7
610,8
611,9
612,1
613,2
614,3
615,4
616,5
617,6
618,7
619,8
620,9
621,1
622,2
623,3
624,4
625,5
626,6
627,7
628,8
629,9
630,1
631,2
632,3
633,4
634,5
635,6
636,7
637,8
638,9
639,1
640,2
641,3
642,4
643,5
644,6
645,7
646,8
647,9
648,1
649,2
650,3
651,4
652,5
653,6
654,7
655,8
656,9
657,1
658,2
659,3
660,4
661,5
662,6
663,7
664,8
665,9
666,1
667,2
668,3
669,4
670,5
671,6
672,7
673,8
674,9
675,1
676,2
677,3
678,4
679,5
680,6
681,7
682,8
683,9
684,1
685,2
686,3
687,4
688,5
689,6
690,7
691,8
692,9
693,1
694,2
695,3
696,4
697,5
698,6
699,7
700,8
701,9
702,1
703,2
704,3
705,4
706,5
707,6
708,7
709,8
710,9
711,1
712,2
713,3
714,4
715,5
716,6
717,7
718,8
719,9
720,1
721,2
722,3
723,4
724,5
725,6
726,7
727,8
728,9
729,1
730,2
731,3
732,4
733,5
734,6
735,7
736,8
737,9
738,1
739,2
740,3
741,4
742,5
743,6
744,7
745,8
746,9
747,1
748,2
749,3
750,4
751,5
752,6
753,7
754,8
755,9
756,1
757,2
758,3
759,4
760,5
761,6
762,7
763,8
764,9
765,1
766,2
767,3
768,4
769,5
770,6
771,7
772,8
773,9
774,1
775,2
776,3
777,4
778,5
779,6
780,7
781,8
782,9
783,1
784,2
785,3
786,4
787,5
788,6
789,7
790,8
791,9
792,1
793,2
794,3
795,4
796,5
797,6
798,7
799,8
800,9
801,1
802,2
803,3
804,4
805,5
806,6
807,7
808,8
809,9
810,1
811,2
812,3
813,4
814,5
815,6
816,7
817,8
818,9
819,1
820,2
821,3
822,4
823,5
824,6
825,7
826,8
827,9
828,1
829,2
830,3
831,4
832,5
833,6
834,7
835,8
836,9
837,1
838,2
839,3
840,4
841,5
842,6
843,7
844,8
845,9
846,1
847,2
848,3
849,4
850,5
851,6
852,7
853,8
854,9
855,1
856,2
857,3
858,4
859,5
860,6
861,7
862,8
863,9
864,1
865,2
866,3
867,4
868,5
869,6
870,7
871,8
872,9
873,1
874,2
875,3
876,4
877,5
878,6
879,7
880,8
881,9
882,1
883,2
884,3
885,4
886,5
887,6
888,7
889,8
890,9
891,1
892,2
893,3
894,4
895,5
896,6
897,7
898,8
899,9
900,1
901,2
902,3
903,4
904,5
905,6
906,7
907,8
908,9
909,1
910,2
911,3
912,4
913,5
914,6
915,7
916,8
917,9
918,1
919,2
920,3
921,4
922,5
923,6
924,7
925,8
926,9
927,1
928,2
929,3
930,4
931,5
932,6
933,7
934,8
935,9
936,1
937,2
938,3
939,4
940,5
941,6
942,7
943,8
944,9
945,1
946,2
947,3
948,4
949,5
950,6
951,7
952,8
953,9
954,1
955,2
956,3
957,4
958,5
959,6
960,7
961,8
962,9
963,1
