samples,score,label
HG00096,6,0
HG00097,15.5,1
HG00099,8,0
HG00100,9,0
HG00101,7.5,0
HG00102,12.5,1
HG00103,9,0
HG00105,10.5,1
HG00106,13.5,1
HG00107,12,1
HG00108,12.5,1
HG00109,13.5,1
HG00110,7.5,0
HG00111,10.5,1
HG00112,18,1
HG00113,6,0
HG00114,9.5,0
HG00115,15,1
HG00116,7.5,0
HG00117,12,1
HG00118,8.5,0
HG00119,10,0
HG00120,15.5,1
HG00121,8.5,0
HG00122,9,0
HG00123,12,1
HG00125,12.5,1
HG00126,10,0
HG00127,7.5,0
HG00128,12,1
HG00129,9.5,0
HG00130,10,0
HG00131,6,0
HG00132,9.5,0
HG00133,9,0
HG00136,5.5,0
HG00137,12.5,1
HG00138,8,0
HG00139,11.5,1
HG00140,12.5,1
HG00141,15,1
HG00142,15.5,1
HG00143,12.5,1
HG00145,13,1
HG00146,12.5,1
HG00148,9,0
HG00149,10.5,1
HG00150,13,1
HG00151,7.5,0
HG00154,17,1
HG00155,8.5,0
HG00157,9.5,0
HG00158,13,1
HG00159,6,0
HG00160,6,0
HG00171,15,1
HG00173,10,0
HG00174,9,0
HG00176,7.5,0
HG00177,11.5,1
HG00178,10.5,1
HG00179,10.5,1
HG00180,7.5,0
HG00181,15,1
HG00182,6,0
HG00183,7.5,0
HG00185,9,0
HG00186,11.5,1
HG00187,6,0
HG00188,13,1
HG00189,13.5,1
HG00190,8.5,0
HG00231,15,1
HG00232,15,1
HG00233,12,1
HG00234,11.5,1
HG00235,7,0
HG00236,13.5,1
HG00237,11,1
HG00238,9.5,0
HG00239,17,1
HG00240,10,0
HG00242,9,0
HG00243,13,1
HG00244,11,1
HG00245,13.5,1
HG00246,12.5,1
HG00250,10,0
HG00251,11,1
HG00252,13,1
HG00253,9,0
HG00254,9,0
HG00255,8,0
HG00256,7,0
HG00257,17,1
HG00258,9.5,0
HG00259,11,1
HG00260,15,1
HG00261,8,0
HG00262,15.5,1
HG00263,9,0
HG00264,6,0
HG00265,12,1
HG00266,10.5,1
HG00267,8.5,0
HG00268,9.5,0
HG00269,13,1
HG00271,12,1
HG00272,5.5,0
HG00273,17,1
HG00274,7,0
HG00275,10.5,1
HG00276,15,1
HG00277,10,0
HG00278,10.5,1
HG00280,18,1
HG00281,15.5,1
HG00282,9,0
HG00284,7.5,0
HG00285,13.5,1
HG00288,13,1
HG00290,15,1
HG00304,15,1
HG00306,15,1
HG00308,13.5,1
HG00309,7,0
HG00310,9,0
HG00311,9,0
HG00313,11.5,1
HG00315,12.5,1
HG00318,11.5,1
HG00319,16.5,1
HG00320,9,0
HG00321,12.5,1
HG00323,8.5,0
HG00324,11.5,1
HG00325,7.5,0
HG00326,13,1
HG00327,13.5,1
HG00328,9,0
HG00329,10,0
HG00330,9,0
HG00331,7,0
HG00332,10,0
HG00334,19,1
HG00335,6,0
HG00336,9.5,0
HG00337,9,0
