samples,score,label,age,PC0,PC1,PC2
HG00096,6.0,0,0.8142630328689869,0.7735941621767971,0.04004203317942734,0.08173621897512273
HG00097,15.5,1,0.4982190316911267,0.02615994746478645,0.5962479125495985,0.34051434579604745
HG00099,8.0,0,0.19517649535123482,0.32269950426521077,0.06128468157372502,0.05542190981202788
HG00100,9.0,0,0.5297556932597687,0.47246328809753624,0.8329074567406896,0.20935251545264633
HG00101,7.5,0,0.7661731686961875,0.703172235520452,0.640685851555802,0.0908177842366088
HG00102,12.5,1,0.7441773031737916,0.013435773200782264,0.23248045988926835,0.654989901606849
HG00103,9.0,0,0.8845077529795182,0.764588366529603,0.10555507755218196,0.6430838207132794
HG00105,10.5,1,0.7526583701639372,0.07186434503363759,0.5849163373712603,0.1992470023632703
HG00106,13.5,1,0.8862138682618468,0.14904959492873915,0.8052645699404354,0.3848688236897395
HG00107,12.0,1,0.3863558997660248,0.48467237305759225,0.15101358775463292,0.7254764141479398
HG00108,12.5,1,0.44013759991213874,0.3082769450560391,0.2823877402593238,0.6671218399612363
HG00109,13.5,1,0.9450826662441972,0.44683681337957315,0.2215249644781183,0.7329486520788311
HG00110,7.5,0,0.6364028033826479,0.530821102343203,0.9593202968875069,0.9061966536313112
HG00111,10.5,1,0.8198395729121377,0.2569470442752625,0.14120783051179875,0.36379239459658763
HG00112,18.0,1,0.6261326668490949,0.3302969991067508,0.009527641607567583,0.24092269815010792
HG00113,6.0,0,0.6674428919007799,0.20790012396287882,0.9181673247775407,0.835356432246893
HG00114,9.5,0,0.18646338164985388,0.889330403271769,0.7832322635752286,0.14657179342559767
HG00115,15.0,1,0.9816424866144069,0.9705041165343458,0.25331477072022146,0.6107211845409517
HG00116,7.5,0,0.17624887113921717,0.5118644774148484,0.4892443681495898,0.5879677915620489
HG00117,12.0,1,0.8969635830330694,0.5974675456221256,0.8771264450538941,0.46558478273966375
HG00118,8.5,0,0.4441361642490528,0.31774952278932567,0.0689524594805947,0.5373856455038662
HG00119,10.0,0,0.46664233539522415,0.027856565578327164,0.4506234799416958,0.12519631638055462
HG00120,15.5,1,0.47440937751540746,0.8646796368902641,0.24973992756195285,0.10460384680360013
HG00121,8.5,0,0.21013855821599337,0.10374850649010814,0.9712468350580516,0.15696918611077648
HG00122,9.0,0,0.8622767571400459,0.32095480570901225,0.6805557866783547,0.4715966106097208
HG00123,12.0,1,0.6918737831326754,0.4861915608292797,0.9623964753990187,0.15619786359243493
HG00125,12.5,1,0.6833333187965688,0.3899106801994662,0.8236393625496651,0.5156823860473349
HG00126,10.0,0,0.5501122285398266,0.9840125097623219,0.24366138367291734,0.810477838562493
HG00127,7.5,0,0.713323710165663,0.7919195168974428,0.5804632178958181,0.05526082383012565
HG00128,12.0,1,0.4653259301873812,0.2201960466424866,0.6652697481017084,0.9659879171766154
HG00129,9.5,0,0.04404817493517521,0.6999903203004137,0.5448361191076418,0.05979736231513222
HG00130,10.0,0,0.21158371945155663,0.8704503647777834,0.39589989804752557,0.18447822824478766
HG00131,6.0,0,0.1294141420666386,0.7813800080174589,0.3077597729466315,0.6885536908391704
HG00132,9.5,0,0.19368360085364045,0.059821001061232004,0.0009133520142566853,0.45758027732580586
HG00133,9.0,0,0.6326733833207024,0.453096376774201,0.6586164015564585,0.5794001017778453
HG00136,5.5,0,0.8650887187162745,0.11074290940957177,0.027932891302441698,0.8890712809741104
HG00137,12.5,1,0.5588734336939963,0.2676294146887904,0.14256052228029514,0.7927060388343634
HG00138,8.0,0,0.43386698412837077,0.8171021882655822,0.587529400510491,0.7272314400429558
HG00139,11.5,1,0.7642476420007833,0.2823427332187587,0.029695796904824157,0.8677133165148535
HG00140,12.5,1,0.18237234433789196,0.0608124873503435,0.7228601288499669,0.8441572609059421
HG00141,15.0,1,0.5371702208150185,0.6035468718553343,0.11799321548654085,0.07666721347019068
HG00142,15.5,1,0.6931680959885335,0.6985413837535795,0.0684687158674896,0.7099554086123553
HG00143,12.5,1,0.45154139835615914,0.18559841556080114,0.11092740866662121,0.02568114128794652
HG00145,13.0,1,0.8619701072484055,0.49572528512705616,0.421994609345103,0.1456691989409611
HG00146,12.5,1,0.8522418168193491,0.07234584985960857,0.39660183309400954,0.2499395978128035
HG00148,9.0,0,0.7991907268646764,0.17992111136824762,0.35809532004025046,0.3700970130146236
HG00149,10.5,1,0.2558957701500103,0.5777691640434769,0.5552753750925593,0.604003277477044
HG00150,13.0,1,0.5546422706471917,0.4194233263117544,0.29742846412008517,0.8211343089860256
HG00151,7.5,0,0.28153727978652243,0.20676133525641005,0.8437843468918214,0.42407358106148074
HG00154,17.0,1,0.4585600040733626,0.8184715741013088,0.7164828164231949,0.6620279816419962
HG00155,8.5,0,0.6505915511091416,0.3403143585447006,0.20913310230664528,0.6919460982985193
HG00157,9.5,0,0.6649908496780284,0.355477627250559,0.4129449478767747,0.5619373395968569
HG00158,13.0,1,0.5060610079589491,0.3280789266106696,0.3188750515946318,0.6839395899484341
HG00159,6.0,0,0.5517987307742696,0.44530150081294984,0.22476684948354386,0.8893550140749775
HG00160,6.0,0,0.003194358821099419,0.1902578448423009,0.036756391540758604,0.16976804954440505
HG00171,15.0,1,0.6141607224696194,0.7023275148330359,0.6135307409683044,0.7055664197112619
HG00173,10.0,0,0.8088850167257674,0.17192967789979474,0.6866603258134027,0.34343589449254897
HG00174,9.0,0,0.36462404538707927,0.6410724500087028,0.687714630941469,0.3321345321340988
HG00176,7.5,0,0.6833785571610977,0.23383986707702153,0.9638151294375935,0.29649936474267047
