nsamples,nvars,mtry,ntrees,ncores,count,variable,importance
5000,2500000,0.1,100,64,0,v_1000,5.196408201548132E-4
5000,2500000,0.1,100,64,0,v_100000,4.6943277225250276E-4
5000,2500000,0.1,100,64,0,v_10000,3.40027625298006E-4
5000,2500000,0.1,100,64,0,v_10,2.110023916095212E-4
5000,2500000,0.1,100,64,0,v_100,1.843046311329834E-4
5000,2500000,0.1,100,64,0,v_1904296,5.497350992664797E-6
5000,2500000,0.1,100,64,0,v_1904298,4.413506501246079E-6
5000,2500000,0.1,100,64,0,v_1904297,4.116870137801706E-6
5000,2500000,0.1,100,64,0,v_1904317,4.053546249627886E-6
5000,2500000,0.1,100,64,0,v_1904302,3.978815202540229E-6
5000,2500000,0.1,100,64,0,v_1904311,3.7002243083242123E-6
5000,2500000,0.1,100,64,0,v_1904300,3.6178366176803255E-6
5000,2500000,0.1,100,64,0,v_1904303,3.520839234778465E-6
5000,2500000,0.1,100,64,0,v_1904304,3.387875965725526E-6
5000,2500000,0.1,100,64,0,v_1904306,3.2453686766045636E-6
5000,2500000,0.1,100,64,0,v_1904299,3.2141748004874972E-6
5000,2500000,0.1,100,64,0,v_1904307,3.1804510740748875E-6
5000,2500000,0.1,100,64,0,v_1904312,3.0124018515271236E-6
5000,2500000,0.1,100,64,0,v_1904308,2.9747203601492415E-6
5000,2500000,0.1,100,64,0,v_1904334,2.9313201846820184E-6
5000,2500000,0.25,100,64,0,v_100000,9.424393125388663E-4
5000,2500000,0.25,100,64,0,v_1000,8.883632746499765E-4
5000,2500000,0.25,100,64,0,v_10000,6.250859027632353E-4
5000,2500000,0.25,100,64,0,v_10,3.3559364888073855E-4
5000,2500000,0.25,100,64,0,v_100,3.318613012970107E-4
5000,2500000,0.25,100,64,0,v_1904296,9.024071901054497E-6
5000,2500000,0.25,100,64,0,v_1904298,7.279343075660769E-6
5000,2500000,0.25,100,64,0,v_1904297,6.784619053224175E-6
5000,2500000,0.25,100,64,0,v_1904301,6.110743792481598E-6
5000,2500000,0.25,100,64,0,v_1904299,6.071453482115436E-6
5000,2500000,0.25,100,64,0,v_1904300,5.393828057285769E-6
5000,2500000,0.25,100,64,0,v_1904303,5.301267045434666E-6
5000,2500000,0.25,100,64,0,v_1904304,5.271746797717089E-6
5000,2500000,0.25,100,64,0,v_1904305,5.1883409184723E-6
5000,2500000,0.25,100,64,0,v_1904307,5.028904001928848E-6
5000,2500000,0.25,100,64,0,v_1904306,4.494085851245467E-6
5000,2500000,0.25,100,64,0,v_1904302,4.305490113356562E-6
5000,2500000,0.25,100,64,0,v_1904313,4.23548857256982E-6
5000,2500000,0.25,100,64,0,v_1904308,3.832677532579967E-6
5000,2500000,0.25,100,64,0,v_1904309,3.815397833088387E-6
5000,2500000,0.5,100,64,0,v_100000,0.0012255484041453564
5000,2500000,0.5,100,64,0,v_1000,0.0011791264258347197
5000,2500000,0.5,100,64,0,v_10000,8.408438924949643E-4
5000,2500000,0.5,100,64,0,v_100,4.992428669039635E-4
5000,2500000,0.5,100,64,0,v_10,4.593667118249928E-4
5000,2500000,0.5,100,64,0,v_1904297,1.2807622846126472E-5
5000,2500000,0.5,100,64,0,v_1904296,1.2079965258384452E-5
5000,2500000,0.5,100,64,0,v_1904298,7.764611468785316E-6
5000,2500000,0.5,100,64,0,v_1904299,7.446975099756597E-6
5000,2500000,0.5,100,64,0,v_1904303,7.152539797399682E-6
5000,2500000,0.5,100,64,0,v_1904300,6.755430931784658E-6
5000,2500000,0.5,100,64,0,v_1904301,6.5463972211457436E-6
5000,2500000,0.5,100,64,0,v_1904302,5.5899634656472735E-6
5000,2500000,0.5,100,64,0,v_1904308,5.337970424045565E-6
5000,2500000,0.5,100,64,0,v_1904304,5.177859212741719E-6
5000,2500000,0.5,100,64,0,v_1904313,4.97889151016571E-6
5000,2500000,0.5,100,64,0,v_1904307,4.713756033274158E-6
5000,2500000,0.5,100,64,0,v_1904309,3.885964216873648E-6
5000,2500000,0.5,100,64,0,v_1904305,3.804447325852457E-6
5000,2500000,0.5,100,64,0,v_1904322,3.6844757970356552E-6
5000,2500000,0.8,100,64,0,v_100000,0.0012881174771172835
5000,2500000,0.8,100,64,0,v_1000,0.001238973572402163
5000,2500000,0.8,100,64,0,v_10000,9.323978878441123E-4
5000,2500000,0.8,100,64,0,v_100,6.213831019897317E-4
5000,2500000,0.8,100,64,0,v_10,5.777221498366751E-4
5000,2500000,0.8,100,64,0,v_1904296,1.7896727734663603E-5
5000,2500000,0.8,100,64,0,v_1904297,1.3587771139160493E-5
5000,2500000,0.8,100,64,0,v_1904298,1.2447114612494748E-5
5000,2500000,0.8,100,64,0,v_1904299,1.0299554835618983E-5
5000,2500000,0.8,100,64,0,v_1904300,7.858604083646588E-6
5000,2500000,0.8,100,64,0,v_1904301,6.692683478536528E-6
5000,2500000,0.8,100,64,0,v_1904302,6.651506142929091E-6
5000,2500000,0.8,100,64,0,v_1904303,6.5724765984703474E-6
5000,2500000,0.8,100,64,0,v_1904305,5.5084476284376255E-6
5000,2500000,0.8,100,64,0,v_1904307,5.050319911810599E-6
5000,2500000,0.8,100,64,0,v_1904304,4.989403631790853E-6
5000,2500000,0.8,100,64,0,v_1904312,4.894420082788515E-6
5000,2500000,0.8,100,64,0,v_1904314,4.385642669672404E-6
5000,2500000,0.8,100,64,0,v_1904309,4.3203952241230805E-6
5000,2500000,0.8,100,64,0,v_1904311,4.037467544049142E-6
