nsamples,nvars,mtry,ntrees,ncores,count,oob,duration
5000,2500000,0.1,100,128,0,0.261,108.927
5000,2500000,0.1,100,128,1,0.261,130.452
5000,2500000,0.1,100,128,2,0.261,110.456
5000,2500000,0.1,100,128,3,0.261,164.064
5000,2500000,0.1,100,128,4,0.261,158.454
5000,2500000,0.1,100,16,0,0.261,674.702
5000,2500000,0.1,100,16,1,0.261,781.079
5000,2500000,0.1,100,16,2,0.261,716.622
5000,2500000,0.1,100,16,3,0.261,670.828
5000,2500000,0.1,100,16,4,0.261,698.127
5000,2500000,0.1,100,32,0,0.261,333.896
5000,2500000,0.1,100,32,1,0.261,328.989
5000,2500000,0.1,100,32,2,0.261,327.454
5000,2500000,0.1,100,32,3,0.261,348.333
5000,2500000,0.1,100,32,4,0.261,361.371
5000,2500000,0.1,100,64,0,0.261,175.453
5000,2500000,0.1,100,64,1,0.261,176.788
5000,2500000,0.1,100,64,2,0.261,181.17
5000,2500000,0.1,100,64,3,0.261,215.913
5000,2500000,0.1,100,64,4,0.261,180.747
5000,2500000,0.25,100,128,0,0.2056,189.219
5000,2500000,0.25,100,128,1,0.2056,151.622
5000,2500000,0.25,100,128,2,0.2056,199.134
5000,2500000,0.25,100,128,3,0.2056,205.044
5000,2500000,0.25,100,128,4,0.2056,152.943
5000,2500000,0.25,100,16,0,0.2056,1102.027
5000,2500000,0.25,100,16,1,0.2056,1198.809
5000,2500000,0.25,100,16,2,0.2056,1100.387
5000,2500000,0.25,100,16,3,0.2056,1114.351
5000,2500000,0.25,100,16,4,0.2056,1158.898
5000,2500000,0.25,100,32,0,0.2056,516.377
5000,2500000,0.25,100,32,1,0.2056,505.679
5000,2500000,0.25,100,32,2,0.2056,523.337
5000,2500000,0.25,100,32,3,0.2056,585.981
5000,2500000,0.25,100,32,4,0.2056,543.716
5000,2500000,0.25,100,64,0,0.2056,264.999
5000,2500000,0.25,100,64,1,0.2056,270.578
5000,2500000,0.25,100,64,2,0.2056,269.551
5000,2500000,0.25,100,64,3,0.2056,265.669
5000,2500000,0.25,100,64,4,0.2056,283.13
5000,2500000,0.5,100,128,0,0.1878,219.062
5000,2500000,0.5,100,128,1,0.1878,231.494
5000,2500000,0.5,100,128,2,0.1878,235.028
5000,2500000,0.5,100,128,3,0.1878,307.4
5000,2500000,0.5,100,128,4,0.1878,226.048
5000,2500000,0.5,100,16,0,0.1878,1719.965
5000,2500000,0.5,100,16,1,0.1878,1625.934
5000,2500000,0.5,100,16,2,0.1878,1780.202
5000,2500000,0.5,100,16,3,0.1878,1739.258
5000,2500000,0.5,100,16,4,0.1878,1754.943
5000,2500000,0.5,100,32,0,0.1878,856.574
5000,2500000,0.5,100,32,1,0.1878,858.957
5000,2500000,0.5,100,32,2,0.1878,812.541
5000,2500000,0.5,100,32,3,0.1878,861.622
5000,2500000,0.5,100,32,4,0.1878,893.143
5000,2500000,0.5,100,64,0,0.1878,411.054
5000,2500000,0.5,100,64,1,0.1878,424.014
5000,2500000,0.5,100,64,2,0.1878,500.622
5000,2500000,0.5,100,64,3,0.1878,398.153
5000,2500000,0.5,100,64,4,0.1878,409.485
5000,2500000,0.8,100,128,0,0.185,410.494
5000,2500000,0.8,100,128,1,0.185,321.736
5000,2500000,0.8,100,128,2,0.185,307.535
5000,2500000,0.8,100,128,3,0.185,300.735
5000,2500000,0.8,100,128,4,0.185,482.455
5000,2500000,0.8,100,16,0,0.185,2235.999
5000,2500000,0.8,100,16,1,0.185,2373.962
5000,2500000,0.8,100,16,2,0.185,2252.896
5000,2500000,0.8,100,16,3,0.185,2347.314
5000,2500000,0.8,100,16,4,0.185,2357.21
5000,2500000,0.8,100,32,0,0.185,1134.338
5000,2500000,0.8,100,32,1,0.185,1164.76
5000,2500000,0.8,100,32,2,0.185,1077.684
5000,2500000,0.8,100,32,3,0.185,1095.191
5000,2500000,0.8,100,32,4,0.185,1156.546
5000,2500000,0.8,100,64,0,0.185,577.133
5000,2500000,0.8,100,64,1,0.185,560.58
5000,2500000,0.8,100,64,2,0.185,574.926
5000,2500000,0.8,100,64,3,0.185,573.011
5000,2500000,0.8,100,64,4,0.185,559.888
